codigo,etapa,ano_ou_faixa,componente,eixo,habilidade,objeto_conhecimento,em_foco,mf_classificacao,mf_conhecimento_previo,mf_objetivos,mf_competencias,mf_habilidades_relacionadas,mf_comentarios
EI03CO01,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Pensamento Computacional,"Reconhecer padrão de repetição em sequência de sons, movimentos, desenhos.",Reconhecimento de Padrões,,,,,,,
EI03CO02,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Pensamento Computacional,Expressar as etapas para a realização de uma tarefa de forma clara e ordenada.,Algoritmos,,,,,,,
EI03CO03,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Pensamento Computacional,Experienciar a execução de algoritmos brincando com objetos (des)plugados.,Algoritmos,,,,,,,
EI03CO04,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Pensamento Computacional,Criar e representar algoritmos para resolver problemas.,Algoritmos,,,,,,,
EI03CO05,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Pensamento Computacional,Comparar soluções algorítmicas para resolver um mesmo problema.,Algoritmos,,,,,,,
EI03CO06,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Pensamento Computacional,Compreender decisões em dois estados (verdadeiro ou falso).,Lógica,,,,,,,
EI03CO07,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Mundo Digital,"Reconhecer dispositivos eletrônicos (e não-eletrônicos), identificando quando estão ligados ou desligados (abertos ou fechados).",Hardware e Dispositivos,,,,,,,
EI03CO08,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Mundo Digital,Compreender o conceito de interfaces para comunicação com objetos (des)plugados.,Hardware e Dispositivos,,,,,,,
EI03CO09,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Mundo Digital,Identificar dispositivos computacionais e as diferentes formas de interação.,Hardware e Dispositivos,,,,,,,
EI03CO10,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Cultura Digital,"Utilizar tecnologia digital de maneira segura, consciente e respeitosa.",Cidadania e Ética Digital,,,,,,,
EI03CO11,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Cultura Digital,"Adotar hábitos saudáveis de uso de artefatos computacionais, seguindo recomendações de órgãos de saúde competentes.",Cidadania e Ética Digital,,,,,,,
EF01CO01,Ensino Fundamental,01,Computação,Pensamento Computacional,"Organizar objetos físicos ou digitais considerando diferentes características para esta organização, explicitando semelhanças (padrões) e diferenças.",Reconhecimento de Padrões,,,,,,,
EF01CO02,Ensino Fundamental,01,Computação,Pensamento Computacional,Identificar e seguir sequências de passos aplicados no dia a dia para resolver problemas.,Algoritmos,,,,,,,
EF01CO03,Ensino Fundamental,01,Computação,Pensamento Computacional,"Reorganizar e criar sequências de passos em meios físicos ou digitais, relacionando essas sequências à palavra ""Algoritmos"".",Algoritmos,,,,,,,
EF01CO04,Ensino Fundamental,01,Computação,Mundo Digital,"Reconhecer o que é a informação, que ela pode ser armazenada, transmitida como mensagem por diversos meios e descrita em várias linguagens.",Dados e Representação,,,,,,,
EF01CO05,Ensino Fundamental,01,Computação,Mundo Digital,Representar informação usando diferentes codificações.,Dados e Representação,,,,,,,
EF01CO06,Ensino Fundamental,01,Computação,Cultura Digital,Reconhecer e explorar artefatos computacionais voltados a atender necessidades pessoais ou coletivas.,Criação Digital,,,,,,,
EF01CO07,Ensino Fundamental,01,Computação,Cultura Digital,Conhecer as possibilidades de uso seguro das tecnologias computacionais para proteção dos dados pessoais e para garantir a própria segurança.,Segurança e Privacidade Pessoal,,,,,,,
EF02CO01,Ensino Fundamental,02,Computação,Pensamento Computacional,"Criar e comparar modelos (representações) de objetos, identificando padrões e atributos essenciais.",Reconhecimento de Padrões,,,,,,,
